epoch,loss,val_acc,test_acc,epoch_time_s
614,0.0134,0.7540,0.7620,0.028
615,0.0146,0.7560,0.7610,0.032
616,0.0388,0.7760,0.7670,0.028
617,0.0090,0.7580,0.7610,0.032
618,0.0172,0.7580,0.7490,0.030
619,0.0118,0.7600,0.7500,0.032
620,0.0124,0.7680,0.7630,0.028
621,0.0154,0.7640,0.7780,0.040
622,0.0126,0.7720,0.7870,0.028
623,0.0302,0.7740,0.7840,0.034
624,0.0148,0.7580,0.7660,0.023
625,0.0159,0.7520,0.7490,0.025
626,0.0218,0.7560,0.7630,0.030
627,0.0227,0.7720,0.7750,0.035
628,0.0094,0.7680,0.7720,0.038
629,0.0313,0.7640,0.7730,0.032
630,0.0187,0.7560,0.7660,0.036
631,0.0196,0.7620,0.7490,0.034
632,0.0216,0.7600,0.7500,0.031
633,0.0145,0.7680,0.7610,0.026
634,0.0134,0.7760,0.7690,0.029
635,0.0140,0.7780,0.7700,0.030
636,0.0221,0.7760,0.7690,0.030
637,0.0204,0.7700,0.7670,0.030
638,0.0086,0.7660,0.7590,0.029
639,0.0098,0.7500,0.7450,0.023
640,0.0197,0.7620,0.7560,0.028
641,0.0205,0.7680,0.7650,0.034
642,0.0156,0.7760,0.7640,0.028
643,0.0283,0.7460,0.7370,0.034
644,0.0178,0.7300,0.7250,0.024
645,0.0324,0.7720,0.7520,0.034
646,0.0136,0.7640,0.7590,0.035
647,0.0302,0.7580,0.7640,0.033
648,0.0276,0.7680,0.7770,0.033
649,0.0123,0.7620,0.7660,0.030
650,0.0192,0.7440,0.7460,0.030
651,0.0269,0.7540,0.7550,0.029
652,0.0184,0.7700,0.7710,0.026
653,0.0093,0.7680,0.7760,0.034
654,0.0129,0.7580,0.7660,0.028
655,0.0140,0.7500,0.7490,0.034
656,0.0168,0.7680,0.7430,0.029
657,0.0104,0.7560,0.7250,0.035
658,0.0162,0.7560,0.7350,0.032
659,0.0115,0.7580,0.7480,0.032
660,0.0155,0.7720,0.7680,0.036
661,0.0151,0.7740,0.7700,0.042
