.,6.539091587,
.,7.860588074,
.,6.071421146,
.,5.633943558,
.,6.322411537,
.,6.418172359,
.,5.348131657,
.,6.089431286,
.,5.170047760,
.,5.493214130,
.,5.085803032,
.,6.868747234,
.,6.083788872,
.,5.108435631,
.,6.459228516,
.,5.643353462,
>,10.5125,
-,0.6057704364907278,
MAX REWD: 10.5125 MODEL_ID: 7,
.,5.227028847,
.,5.190595627,
.,5.182502747,
.,5.841451645,
.,5.491886139,
.,7.258731842,
.,5.468149185,
.,5.999503613,
.,5.787824631,
.,7.313949585,
.,5.225743771,
.,7.436238289,
.,5.429149628,
.,4.955697060,
.,6.754528999,
.,6.603677750,
.,6.110004902,
.,6.297262669,
.,6.491264343,
.,5.188088417,
.,5.970321178,
.,7.065250397,
.,5.631061554,
.,5.144439697,
.,6.628237724,
.,5.489138126,
.,6.233420372,
.,5.476490498,
.,6.210257530,
.,5.390558243,
.,5.029983997,
.,8.357567787,
.,5.608505249,
.,6.159797668,
.,5.574707508,
.,6.121879578,
.,5.958912373,
.,5.268793106,
.,6.388705254,
.,5.260657310,
>,9.8625,
-,0.49571413690105054,
MAX REWD: 10.5125 MODEL_ID: 7,
.,4.991753578,
.,6.152771950,
.,5.723734856,
.,5.410480022,
.,6.694640160,
.,5.905413151,
.,5.143545628,
.,6.439585209,
.,5.592571735,
.,5.786283016,
.,5.116421223,
.,5.167312622,
.,5.144216061,
.,5.856082916,
.,5.735104084,
.,5.387486458,
.,5.627063274,
.,5.981645584,
.,5.732076645,
.,5.851457596,
.,5.037044048,
.,5.213732243,
.,4.777459621,
.,6.304231644,
.,5.881606102,
.,5.537721634,
.,5.678523064,
.,5.570863724,
.,4.756390572,
.,4.731184006,
.,4.745743275,
.,5.780150414,
.,5.956339836,
.,5.096238613,
.,5.105768681,
.,6.739481926,
.,4.720067501,
.,4.776386261,
.,4.769478798,
.,5.041049480,
>,10.85,
-,0.40565285250151817,
MAX REWD: 10.85 MODEL_ID: 9,
.,5.006309509,
.,5.658449173,
.,5.594557762,
.,4.570117474,
.,4.954202652,
.,5.259110451,
.,4.620562077,
.,4.457925320,
.,5.144488811,
.,4.794589996,
.,5.080368042,
.,6.283799648,
.,4.764992714,
.,4.867757320,
.,6.122394562,
.,4.578582764,
.,5.756398201,
.,5.018280029,
.,4.981038094,
.,4.925962448,
.,4.647797108,
.,5.502593517,
.,5.245739937,
.,4.513119698,
.,4.923192978,
.,4.471932411,
.,4.901489258,
.,4.634981155,
.,4.675687790,
.,4.866497993,
.,5.478382587,
.,5.301539898,
.,4.726948738,
.,4.540316105,
.,5.632234573,
.,4.698391914,
.,4.695414066,
.,5.666034698,
.,4.765372276,
.,5.833064079,
>,10.95,
-,0.33195389135223546,
MAX REWD: 10.95 MODEL_ID: 10,
.,4.495079994,
.,4.514768600,
.,5.188332081,
.,4.984482288,
.,4.876402855,
.,4.459689140,
.,4.452682972,
.,4.321948528,
.,4.666122913,
.,4.344229221,
.,4.556020260,
.,4.787712097,
.,4.681524277,
.,4.980556011,
.,5.491825104,
.,4.944232941,
.,4.581594467,
.,4.356297016,
.,4.484568596,
.,4.890520573,
.,4.653597355,
.,4.618098259,
.,4.750485897,
.,5.613411903,
.,4.280236244,
.,4.177705288,
.,5.287135124,
.,4.558547974,
.,4.399182796,
.,4.548043251,
.,4.745534897,
.,4.993719101,
.,4.635198116,
.,4.769999504,
.,4.374656200,
.,4.495489120,
.,4.365106583,
.,4.619994640,
.,4.534869671,
.,4.606441498,
>,10.775,
-,0.27164454854530906,
MAX REWD: 10.95 MODEL_ID: 10,
.,4.296689987,
.,4.560128212,
.,6.025878906,
.,4.622363567,
.,4.260406971,
.,4.556339741,
.,4.186136246,
.,4.296925545,
.,4.538654804,
.,4.401841164,
.,4.147409916,
.,5.516032219,
.,4.498726845,
.,5.218592167,
.,4.384094715,
.,4.463084698,
.,4.236806393,
.,4.606816769,
.,4.272813320,
.,4.457624912,
.,4.167029381,
.,4.135096073,
.,5.095911980,
.,4.416212559,
.,5.218505859,
.,4.213888645,
.,5.183767319,
.,4.401798248,
.,4.745242119,
.,4.686725140,
.,4.048815727,
.,5.239935875,
.,4.140079498,
.,4.757598877,
.,4.529064655,
.,4.036124229,
.,4.325880527,
.,3.974003315,
.,4.739020348,
.,4.073647499,
>,10.425,
-,0.22229219984074702,
MAX REWD: 10.95 MODEL_ID: 10,
.,4.064805984,
.,4.894804955,
.,4.124953270,
.,4.075200558,
.,5.564910412,
.,4.294575691,
.,4.032629490,
.,5.014365196,
.,5.170531273,
.,3.930533171,
.,4.364620686,
.,4.781445026,
.,4.085936546,
.,4.901931286,
.,4.180595398,
.,3.969411612,
.,4.019456387,
.,4.766764641,
.,4.297681808,
.,3.960144043,
.,4.519287586,
.,4.036229610,
.,4.076043606,
.,3.995307446,
.,4.557980061,
.,4.783094406,
.,4.432225704,
.,3.862415552,
.,4.887674332,
.,4.038083553,
.,5.320824146,
.,4.146873474,
.,4.104351044,
.,4.380814552,
.,4.989687920,
.,4.253913403,
.,5.035999775,
.,4.966642857,
.,5.116902828,
.,4.127499580,
>,11.4875,
-,0.18190617987607657,
MAX REWD: 11.4875 MODEL_ID: 13,
.,3.990521193,
.,3.862644672,
.,3.873309374,
.,4.193574905,
.,3.768312931,
.,3.894979477,
.,4.719984531,
.,3.819460154,
.,4.092332363,
.,4.411849499,
.,3.759097576,
.,4.895739555,
.,4.106246471,
.,3.839847803,
.,3.944144487,
.,3.841482878,
.,4.967541218,
.,4.079048634,
.,3.980468512,
.,4.043787956,
.,3.766232967,
.,5.383460999,
.,5.346792221,
.,5.299590111,
.,4.099057198,
.,3.796193838,
.,4.068106651,
.,4.699902534,
.,3.919903278,
.,5.062158108,
.,3.787988186,
.,3.766381741,
.,3.964424133,
.,3.909925938,
.,4.026715279,
.,4.436329842,
.,4.659593105,
.,4.017197132,
.,3.893734694,
.,4.325560093,
>,10.6125,
-,0.14885748713096328,
MAX REWD: 11.4875 MODEL_ID: 13,
.,4.292244434,
.,3.940109015,
.,5.638692856,
.,3.787451029,
.,3.881651878,
.,3.909335613,
.,3.648682117,
.,3.750377893,
.,3.815189838,
.,3.766725302,
.,3.846527815,
.,3.827370405,
.,4.505616188,
.,4.127449036,
.,3.975788355,
.,3.565385580,
.,4.109279156,
.,4.205876350,
.,3.659874916,
.,3.490563393,
